player_code,last_season,full_name,team,shirt_number,position,height,birthdate,nationality
KVG,2005,"LIBANET, GUILLAUME",,,,,1986-02-09,France
ANK,2000,"LIBERALATO, ALESSANDRO",,,,,1983-03-14,Italy
003526,2021,"LIGHTY, DAVID",LDLC ASVEL Villeurbanne,23,Forward,1.95,1988-05-27,United States of America
JAV,2014,"LIKHODEI, VALERII",Unics Kazan,11,Forward,2.04,1986-10-23,Russian Federation
001098,2016,"LIMA, AUGUSTO",Zalgiris Kaunas,23,Center,2.08,1991-09-17,Spain
AIJ,2000,"LIMNIATIS, GIORGIOS",PAOK Thessaloniki,6,Guard,1.92,1971-03-22,Greece
DID,2009,"LIMONAD, RAVIV",Maccabi Electra,5,Guard,1.92,1984-08-26,Israel
LNP,2011,"LINEHAN, JOHN",SLUC Nancy,11,Guard,1.75,1978-05-01,United States of America
005825,2014,"LINHART, NATE",Maccabi Electra Tel Aviv,8,Forward,2.01,1986-11-14,United States of America
LXI,2015,"LIPKEVICIUS, VYTENIS",Zalgiris Kaunas,19,Forward,1.95,1989-05-19,Lithuania
005090,2013,"LISCH, KEVIN",JSF Nanterre,12,Guard,1.88,1986-05-16,United States of America
000236,2014,"LISHCHUK, SERHIY",Valencia Basket,12,Center,2.1,1982-03-31,Ukraine
AND,2008,"LISICKY, PETER",Air Avellino,12,Guard,1.92,1976-03-03,Slovakia
AAH,2000,"LLEAL, JOFFRE",Ovarense Aerosoles,9,Guard,1.95,1971-08-03,Spain
CQU,2003,"LLOMPART, PEDRO",Pamesa Valencia,16,Guard,1.9,1982-01-09,Spain
AUW,2001,"LLORENTE, TONIN",Real Madrid,13,Guard,1.83,1963-11-27,Spain
001086,2008,"LLOVET, NACHO",DKV Joventut,0,,2.02,1991-05-09,Spain
TGB,2021,"LLULL, SERGIO",Real Madrid,23,Guard,1.9,1987-11-15,Spain
007032,2021,"LO, MAODO",ALBA Berlin,0,Guard,1.91,1992-12-31,Germany
BZM,2003,"LOBE, BLAZ",,,,,1984-04-04,Slovenia
001995,2009,"LOFTON, CHRIS",Caja Laboral,6,Guard,1.88,1986-03-27,United States of America
001793,2010,"LOGACHEV, SERGEY",Khimki Moscow Region,0,Center,2.06,1987-09-10,Russian Federation
000541,2015,"LOGAN, DAVID",Dinamo Banco di Sardegna Sassari,3,Guard,1.85,1982-12-26,United States of America
003608,2018,"LOJESKI, MATT",Panathinaikos OPAP Athens,24,Forward,1.98,1985-07-24,United States of America
AUF,2001,"LOKHMANCHUK, ALEXANDER",Opel Skyliners,15,Forward,2.06,1973-05-28,Ukraine
AWF,2004,"LOLLIS, QUADRE-MICHAEL",AEK Athens,4,Forward,2.02,1973-04-17,United States of America
005553,2020,"LOMAZS, RIHARDS",LDLC ASVEL Villeurbanne,9,Forward,1.87,1996-04-13,Latvia
BEJ,2014,"LONCAR, KRESIMIR",Valencia Basket,25,Center,2.1,1983-02-12,Croatia
004712,2014,"LONCAR, MARKUS",Cedevita Zagreb,34,Center,2.12,1996-04-08,Croatia
BIU,2005,"LONCAR, NIKOLA",Partizan,6,Guard,,1972-05-31,Spain
BTZ,2002,"LONG, ARTHUR",,,,,1753-01-01,United States of America
AFL,2008,"LONGIN, BRANIMIR",Cibona,7,Guard,1.91,1978-02-07,Croatia
006135,2021,"LOPATIN, ANDREI",CSKA Moscow,28,Forward,2.08,1998-08-27,Russian Federation
BBU,2001,"LOPATKA, MIROSLAW",Idea Slask,,Center,2.13,1977-06-02,Poland
AMQ,2000,"LOPEZ, DANIEL",Real Madrid,,Guard,1.88,1982-04-29,Spain
AVR,2001,"LOPEZ, FERRAN",Tau Ceramica,11,Guard,1.88,1971-11-19,Spain
007561,2018,"LOPEZ, JAVI",Herbalife Gran Canaria,3,Guard,1.88,1999-05-06,Spain
AUZ,2002,"LOPEZ, JUAN JOSE",,,,2.04,1982-09-13,Spain
009918,2019,"LOPEZ, LAUTARO",KIROLBET Baskonia Vitoria-Gasteiz,10,Guard,1.81,1999-01-08,Argentina
001450,2008,"LOPEZ, RAI",Unicaja,6,Guard,1.83,1989-04-02,Spain
AIT,2011,"LOPEZ, RAUL",Gescrap Bilbao Basket,31,Guard,1.82,1980-04-15,Spain
LGI,2006,"LORBEK, DOMEN",Union Olimpija,23,Forward,1.98,1985-03-06,Slovenia
BWL,2013,"LORBEK, ERAZEM",FC Barcelona,25,Center,2.08,1984-02-21,Slovenia
LSN,2010,"LORBEK, KLEMEN",Union Olimpija Ljubljana,25,Guard,1.98,1988-06-26,Slovenia
006302,2021,"LOUNTZIS, MICHALIS",Olympiacos Piraeus,4,Guard,1.95,1998-08-04,Greece
LBK,2005,"LOVATTI, FABIO",Climamio Bologna,18,Guard,1.92,1989-02-24,Italy
009754,2021,"LOYD, JORDAN",Zenit St Petersburg,2,Guard,1.93,1993-07-27,United States of America
BEP,2002,"LUBIN, LIOR",Maccabi Elite,4,Guard,1.92,1977-09-19,Israel
003417,2019,"LUCAS, KALIN",Crvena Zvezda mts Belgrade,16,Guard,1.85,1989-05-24,United States of America
001288,2021,"LUCIC, VLADIMIR",FC Bayern Munich,11,Forward,2.04,1989-06-17,Serbia
BNA,2003,"LUENGO, VICTOR",Pamesa Valencia,15,Forward,1.94,1974-02-01,Spain
BGA,2002,"LUGO, RICHARD",Idea Slask,12,Center,2.09,1973-07-05,Venezuela
BUU,2009,"LUKAUSKIS, MINDAUGAS",Asvel Basket,5,Guard,1.98,1979-05-19,Lithuania
006158,2021,"LUKOSIUNAS, KAROLIS",Zalgiris Kaunas,16,Forward,1.95,1997-08-04,Lithuania
AZD,2003,"LUKOVSKI, DRAGAN",Pau-Orthez,5,Guard,1.81,1975-03-21,Serbia
010781,2021,"LUNDBERG, IFFE",CSKA Moscow,1,Guard,1.93,1994-12-04,Denmark
CNK,2002,"LUTCKE, JORG",Alba Berlin,5,Forward,2.01,1975-12-12,Germany
AHI,2001,"LUTCKE, NIKLAS",Opel Skyliners,14,Forward,1.99,1974-08-14,Germany
JKT,2005,"LUX, ANTHONY",Pau-Orthez,15,Center,2.04,1977-04-29,United States of America
001633,2016,"LUZ, RAFA",Baskonia Vitoria Gasteiz,55,Guard,1.88,1992-02-11,Spain
COX,2011,"LYDAY, TERRELL",Unics Kazan,4,Guard,1.91,1979-08-12,United States of America
004797,2013,"LYDEKA, TAUTVYDAS",Lietuvos Rytas Vilnius,16,Center,2.08,1983-10-13,Lithuania
007993,2017,"M'BAYE, AMATH",AX Armani Exchange Olimpia Milan,24,Forward,2.06,1989-12-14,France
BWR,2003,"M'BIANDA, PATRICE",,,,1.87,1983-01-13,France
BWG,2003,"MACEINA, GEDIMINAS",,,,1.88,1984-08-28,Lithuania
LFZ,2006,"MACHADO, MARCELINHO",Zalgiris,5,Guard,2.0,1975-04-12,Brazil
CBV,2007,"MACIJAUSKAS, ARVYDAS",Olympiacos,7,Forward,1.93,1980-01-19,Lithuania
JCC,2017,"MACIULIS, JONAS",Real Madrid,8,Forward,1.98,1985-02-10,Lithuania
009902,2020,"MACK, SHELVIN",Panathinaikos OPAP Athens,0,Guard,1.91,1990-04-22,United States of America
011236,2021,"MACON JR, DARYL",Panathinaikos OPAP Athens,5,Guard,1.88,1995-11-29,United States of America
JEA,2016,"MACVAN, MILAN",EA7 Emporio Armani Milan,13,Center,2.05,1989-11-16,Serbia
008984,2018,"MADSEN, ALEXANDER",Herbalife Gran Canaria,25,Forward,2.08,1995-01-26,Finland
001896,2009,"MAFFEZZOLI, MATTEO",Armani Jeans Milano,0,Guard,1.78,1991-05-11,Italy
008796,2018,"MAGETTE, JOSH",Herbalife Gran Canaria,7,Guard,1.85,1989-11-28,United States of America
AVK,2002,"MAGGIOLI, MICHELE",Montepaschi Siena,15,Center,2.12,1977-07-15,Italy
BVR,2005,"MAGKOUNIS, SPYRIDON",AEK Athens,9,Guard,2.0,1985-12-10,Greece
006463,2015,"MAGRO, DANIELE",EA7 Emporio Armani Milan,15,Center,2.08,1987-04-14,Italy
003042,2012,"MAHALBASIC, RASID",Asseco Prokom Gdynia,12,Center,2.11,1990-11-07,Austria
LHA,2006,"MAHINMI, IAN",Pau-Orthez,14,Forward,2.06,1986-11-05,France
002969,2021,"MAHMUTOGLU, MELIH",Fenerbahce Beko Istanbul,10,Guard,1.91,1990-05-12,Turkey
BUL,2013,"MAINOLDI, LEO",Laboral Kutxa Vitoria,4,Forward,2.03,1985-03-04,Argentina
AVU,2001,"MAJOR, GERRIT",Telindus Oostende,4,Guard,1.88,1980-08-04,Belgium
CIU,2009,"MAJSTOROVIC, MILAN",EWE Baskets,10,Forward,2.07,1983-01-28,Serbia
006357,2017,"MAKIEV, ALAN",CSKA Moscow,77,Center,2.1,1991-03-20,Russian Federation
KMM,2005,"MAKSHANTSEV, STANISLAV",,,,,1978-06-29,Russian Federation
JHM,2006,"MALAVENTURA, MATTEO",Eldo Napoli,16,Guard,1.96,1978-06-13,Italy
007027,2019,"MALEDON, THEO",LDLC ASVEL Villeurbanne,6,Guard,1.92,2001-06-12,France
BZL,2004,"MALI, GREGA",Union Olimpija,,Guard,,1984-02-06,Slovenia
CMF,2011,"MALLET, DEMOND",Belgacom Spirou Charleroi,12,Guard,1.86,1978-02-22,United States of America
004185,2017,"MALMANIS, RINALDS",KIROLBET Baskonia Vitoria Gasteiz,8,Center,2.05,1996-04-12,Latvia
AOR,2001,"MALOCA, MARIO",,,,2.04,1971-08-25,Croatia
AKP,2000,"MALTSEV, ANDREI",Saint Petersburg Lions,10,Forward,,1966-02-07,Russian Federation
AFM,2003,"MAMIC, MATEJ",Cibona VIP,13,Forward,2.03,1975-01-13,Croatia
AAI,2000,"MANARTE, NUNO",Ovarense Aerosoles,7,Guard,1.84,1975-12-08,Portugal
AOP,2007,"MANCE, MARIJAN",Cibona,21,Guard,1.97,1978-06-20,Croatia
ANH,2011,"MANCINELLI, STEFANO",EA7 Emporio Armani,6,Forward,2.03,1983-03-17,Italy
AFW,2000,"MANDEVILLE, RICHARD",Zadar,14,Center,2.1,1974-11-30,Croatia
AOF,2000,"MANOVIC, JOVAN",Ovarense Aerosoles,14,Guard,1.83,1977-05-13,Croatia
ALI,2000,"MANPUYA, EMMANUEL",Region Wallone Spirou Charleroi,12,Forward,2.0,1979-08-23,Belgium
AGY,2002,"MANTZANAS, PANAGIOTIS",Olympiacos,,Guard,1.98,1980-11-11,Greece
003537,2018,"MANTZARIS, VANGELIS",Olympiacos Piraeus,17,Guard,1.94,1990-04-16,Greece
008084,2021,"MANTZOUKAS, ELEFTHERIOS",Panathinaikos OPAP Athens,72,Forward,2.07,2003-07-08,Greece
002871,2016,"MARAGKOS, PARIS",Olympiacos Piraeus,26,Center,2.06,1994-01-19,Greece
LGU,2006,"MARAKER, CHRISTIAN",Union Olimpija,55,Forward,2.06,1982-09-24,Sweden
AHJ,2004,"MARAS, ROBERT",Opel Skyliners,13,Center,2.15,1978-10-20,Germany
BJN,2003,"MARAVIC, MARKO",Union Olimpija,13,Forward,,1979-06-26,Slovenia
BFP,2002,"MARCACCINI, GIANCARLO",Montepaschi Siena,7,Forward,1.96,1972-11-11,Italy
ATR,2006,"MARCELIC, DAVOR",Cibona,11,Forward,2.0,1969-05-20,Croatia
002299,2010,"MARCHETTI, GIANLUCA",Lottomatica Roma,17,Guard,1.78,1993-06-18,Italy
ACV,2002,"MARCIULONIS, KESTUTIS",Idea Slask,8,Guard,1.88,1976-03-24,Lithuania
AHW,2015,"MARCONATO, DENIS",Dinamo Banco di Sardegna Sassari,11,Center,2.14,1975-07-29,Italy
009948,2019,"MARCOS, JUANI",FC Barcelona,19,Guard,1.85,2000-07-06,Argentina
000088,2007,"MARELLI, DAVIDE",AJ Milano,12,Guard,1.95,1991-01-24,Italy
000089,2007,"MARELLI, SANDRO",AJ Milano,19,Guard,1.95,1991-01-24,Italy
001922,2014,"MARIC, ALEKS",Maccabi Electra Tel Aviv,23,Center,2.11,1984-10-22,Serbia
AFX,2000,"MARIC, IVICA",Zadar,5,Guard,1.82,1967-04-16,Croatia
003993,2014,"MARIN, MAURICIO",FC Bayern Munich,17,Guard,1.93,1994-04-21,Germany
004209,2012,"MARINA, DAVID",Real Madrid,,Forward,2.02,1988-03-23,Spain
004761,2021,"MARINKOVIC, VANJA",Bitci Baskonia Vitoria-Gasteiz,9,Forward,1.98,1997-01-09,Serbia
CCB,2003,"MARINO, TOMMASO",,,,1.9,1986-02-05,Italy
LMG,2014,"MARJANOVIC, BOBAN",Crvena Zvezda Telekom Belgrade,13,Center,2.21,1988-08-15,Serbia
BED,2015,"MARKOISHVILI, MANUCHAR",Darussafaka Dogus Istanbul,11,Forward,,1986-11-17,Georgia
BCC,2013,"MARKOTA, DAMIR",Brose Baskets Bamberg,22,Forward,2.08,1985-12-26,Croatia
JJX,2004,"MARKOVIC, MILOS",Partizan,11,Forward,2.01,1984-04-01,Serbia
AAT,2002,"MARKOVIC, NENAD",Olympiacos,7,Guard,1.96,1968-06-06,Bosnia and Herzegovina
LME,2021,"MARKOVIC, STEFAN",Crvena Zvezda mts Belgrade,27,Guard,1.98,1988-04-25,Serbia
KRI,2006,"MARMARINOS, DIMITRIOS",Lottomatica Roma,12,Forward,2.03,1976-05-14,Greece
JBE,2004,"MAROLT, LUKA",Union Olimpija,,Forward,,1985-01-10,Slovenia
BHR,2010,"MARQUIS, CLAUDE",Cholet Basket,11,Forward,2.04,1980-01-28,France
009129,2020,"MARSH, MATT",LDLC ASVEL Villeurbanne,17,Center,2.11,2002-05-15,United Kingdom
000670,2009,"MARSHALL, RAWLE",Asvel Basket,17,Forward,2.01,1982-02-20,United States of America
003715,2013,"MARTIN, ALBERTO",Real Madrid,8,Guard,1.84,1995-03-28,Spain
000983,2012,"MARTIN, ALBERTO",Real Madrid,11,Guard,1.84,1995-03-28,Spain
009540,2021,"MARTIN, HASSAN",Olympiacos Piraeus,12,Center,2.01,1995-11-22,United States of America
BIP,2007,"MARTIN, JAN",Real Madrid,0,,2.02,1984-11-20,Spain
BCJ,2002,"MARTIN, JOSE IGNACIO",,,,,1983-04-22,Spain
003395,2014,"MARTINEZ, CARLOS",Laboral Kutxa Vitoria,18,Forward,1.96,1996-01-19,Spain
AYF,2001,"MARTINEZ, FERRAN",Peristeri,8,Center,2.12,1968-04-25,Spain
AAU,2000,"MARTINEZ, GONZALO",Adecco Estudiantes,5,Guard,1.78,1974-07-03,Spain
007995,2017,"MARTINEZ, IVAN",KIROLBET Baskonia Vitoria Gasteiz,19,Forward,1.92,1990-03-02,Spain
001351,2017,"MARTINEZ, RAFA",Valencia Basket,17,Guard,1.9,1982-03-03,Spain
006768,2021,"MARTINEZ, SERGI",FC Barcelona,8,Forward,2.02,1999-05-10,Spain
LTO,2006,"MARTINONI, NICCOLO",Benetton Basket,0,Forward,2.01,1989-05-10,Italy
001066,2010,"MARZO, CARLES",Regal Barcelona,0,Guard,1.9,1992-05-15,Spain
JOZ,2004,"MASCI, GEOFFREY",,,,,1985-09-12,France
008015,2017,"MASHOUR, KARAM",Maccabi FOX Tel Aviv,4,Forward,1.98,1991-08-09,Israel
003474,2011,"MASIC, ANTE",Zagreb,5,Forward,1.98,1985-10-28,Croatia
ACW,2002,"MASIULIS, ARTURAS",Zalgiris,13,Center,2.1,1980-05-02,Lithuania
006183,2017,"MASIULIS, GYTIS",Zalgiris Kaunas,20,Forward,2.06,1998-04-10,Lithuania
ACX,2008,"MASIULIS, TOMAS",Zalgiris,15,Forward,,1975-09-19,Lithuania
DGO,2004,"MASKOLIUNAS, DARIUS",Prokom Trefl Sopot,13,Guard,,1971-01-06,Lithuania
BZY,2003,"MASLARINOS, GEORGIOS",Panathinaikos,,Guard,,1974-02-26,Greece
009600,2019,"MASON, MAKAI",ALBA Berlin,1,Guard,1.85,1995-05-04,United States of America
KIB,2004,"MASON, ROGER",Olympiacos,31,Guard,1.96,1980-09-10,United States of America
LGV,2012,"MASSEY, JEREMIAH",Brose Baskets Bamberg,24,Forward,2.02,1982-07-22,United States of America
AUM,2003,"MATERIC, PREDRAG",Partizan,10,Forward,1.98,1977-06-12,Serbia
BOE,2004,"MATINEN, JUKKA",Opel Skyliners,10,Forward,2.02,1978-11-06,Finland
KLH,2005,"MATOS, ANESTIS",AEK Athens,16,Forward,2.0,1987-10-16,Greece
AUS,2001,"MATOVIC, NEMANJA",,,,2.1,1983-10-15,Serbia
ABQ,2000,"MATTHEWS, LEE",Lugano Snakes,6,Forward,2.02,1970-07-24,United States of America
007025,2021,"MATTISSECK, JONAS",ALBA Berlin,9,Guard,1.94,2000-01-16,Germany
BAN,2001,"MATULIS, ROLANDAS",Zalgiris,8,Forward,2.0,1973-10-04,Lithuania
BAD,2001,"MAUBAYOU, ALEXANDRE",Pau-Orthez,,Forward,2.0,1982-04-06,France
002652,2011,"MAVRA, DOMINIK",Zagreb,0,Guard,1.94,1994-06-15,Croatia
KRK,2012,"MAVROEIDIS, DIMITRIOS",Olympiacos Piraeus,11,Center,2.08,1985-07-04,Greece
JRC,2014,"MAVROKEFALIDIS, LOUKAS",Panathinaikos Athens,12,Center,2.1,1984-07-25,Greece
003069,2011,"MAY, SEAN",Zagreb,14,Center,2.06,1984-04-04,United States of America
011264,2021,"MAYO, O J",UNICS Kazan,32,Guard,1.96,1987-11-05,United States of America
004511,2015,"MAYR, DANIEL",FC Bayern Munich,41,Center,2.16,1995-07-28,Germany
004401,2015,"MAZALIN, LOVRO",Cedevita Zagreb,18,Forward,2.03,1997-06-28,Croatia
JMF,2014,"MAZEIKA, MARTYNAS",Neptunas Klaipeda,7,Guard,1.91,1985-01-29,Lithuania
CQJ,2012,"MAZZARINO, NICOLAS",Mapooro Cantu,12,Guard,1.81,1975-10-21,Italy
005061,2015,"MBAKWE, TREVOR",Maccabi FOX Tel Aviv,32,Center,2.03,1989-01-24,Nigeria
001062,2013,"MBAYE, PAPA",FC Barcelona,,Center,2.09,1990-06-13,Senegal
005730,2014,"MBODJ, CHEIKH",Dinamo Banco di Sardegna Sassari,16,Center,2.08,1987-08-01,Senegal
AYP,2002,"MC CANTS, CURTIS",Montepaschi Siena,18,Guard,1.88,1975-08-02,United States of America
000731,2007,"MC LEOD, KEITH",Montepaschi Siena,18,Guard,1.88,1979-11-05,United States of America
002014,2014,"MCCALEBB, BO",FC Bayern Munich,4,Guard,1.82,1985-05-04,United States of America
008002,2018,"MCCALLUM, RAY",Darussafaka Tekfen Istanbul,2,Guard,1.91,1991-06-12,United States of America
KFP,2004,"MCCASKILL, AMAL",,,,,1973-10-28,United States of America
005216,2020,"MCCOLLUM, ERRICK",Khimki Moscow Region,3,Guard,1.88,1988-01-22,United States of America
AAJ,2000,"MCDANIELS, LASHUN",Ovarense Aerosoles,,Guard,1.84,1966-02-24,Italy
JTT,2008,"MCDONALD, WILL",Tau Ceramica,45,Forward,2.07,1979-10-05,United States of America
008062,2017,"MCDOWELL-WHITE, WILLIAM",Brose Bamberg,24,Guard,1.95,1998-04-13,Australia
000117,2007,"MCDUFFIE, DIMITRY",Brose Baskets,15,Forward,1.98,1989-02-28,Germany
KWI,2010,"MCINTYRE, TERRELL",Unicaja Malaga,20,Guard,1.75,1977-10-18,United States of America
007853,2021,"MCKISSIC, SHAQUIELLE",Olympiacos Piraeus,77,Guard,1.96,1990-08-17,United States of America
004418,2017,"MCLEAN, JAMEL",Olympiacos Piraeus,1,Center,2.02,1988-04-18,United States of America
BUM,2004,"MCLINTON, DARREN",Union Olimpija,9,Guard,1.84,1974-05-02,United States of America
CJW,2004,"MCNAULL, JOSEPH",,,,,1972-06-23,Poland
007996,2017,"MCRAE, JORDAN",KIROLBET Baskonia Vitoria Gasteiz,52,Forward,1.98,1991-03-28,United States of America
JDD,2003,"MDIVANI, GEORGE",Pau-Orthez,,Forward,,1985-10-20,Georgia
002982,2014,"MEACHAM, TRENTON",EA7 Emporio Armani Milan,10,Guard,1.9,1985-09-26,United States of America
AIU,2000,"MEEK, ERIK",Real Madrid,9,Forward,2.1,1973-01-17,United States of America
BBC,2001,"MEIMARIDIS, ALEKSANDR",AEK Athens,,Guard,1.93,1975-05-12,Greece
001946,2011,"MEJIA, SAMMY",CSKA Moscow,11,Guard,1.99,1983-02-07,United States of America
005196,2019,"MEJRI, SALAH",Real Madrid,50,Center,2.17,1986-06-15,Tunisia
KJP,2016,"MEKEL, GAL",Maccabi FOX Tel Aviv,9,Guard,1.92,1988-03-04,Israel
002849,2021,"MELLI, NICOLO",AX Armani Exchange Milan,9,Forward,2.05,1991-01-26,Italy
JAJ,2004,"MELNIKS, ALEKSANDRS",,,,2.15,1987-02-07,Latvia
AVA,2002,"MENA, RAUL",,,,1.76,1982-06-09,Spain
AWA,2001,"MENAMA, BOB",Telindus Oostende,11,Forward,1.98,1980-12-02,Belgium
JOY,2004,"MENDEZ, LAURENT",,,,,1986-01-31,France
KMX,2005,"MENDY, ELSON",Strasbourg,11,Forward,1.99,1985-11-16,Senegal
ADT,2001,"MENEGHIN, ANDREA",Skipper Bologna,11,Guard,2.0,1974-02-20,Italy
005091,2013,"MENSAH, WILLIAM",JSF Nanterre,7,Guard,1.75,1995-08-02,France
000186,2013,"MENSAH-BONSU, POPS",Galatasaray Liv Hospital Istanbul,21,Forward,2.06,1983-09-07,United Kingdom
001233,2008,"MERCANTE, JACOPO",AJ Milano,18,Guard,1.92,1990-07-30,Italy
CUF,2005,"MERCANTE, STEFANO",,,,1.86,1987-01-28,Italy
003421,2013,"MERLATI, ANDREA",EA7 Emporio Armani Milan,21,Forward,1.98,1995-08-08,Italy
003525,2011,"MERONI, MARCO",Bennet Cantu,22,Forward,2.02,1993-01-12,Italy
JCH,2004,"MESTRES, JOSEP",Adecco Estudiantes,,Center,2.08,1985-09-26,Spain
LWB,2009,"METREVELI, NIKA",Montepaschi Siena,15,Forward,2.11,1991-01-14,Georgia
ATN,2001,"MEZULIC, DALIBOR",,,,,1753-01-01,
KKV,2008,"MICEVIC, MARKO",AJ Milano,16,Guard,1.98,1989-07-25,Serbia
JNX,2011,"MICHELORI, ANDREA",Montepaschi Siena,15,Forward,2.02,1978-02-20,Italy
001473,2011,"MICIC, DJORDJE",Union Olimpija Ljubljana,5,Forward,2.01,1993-07-27,Serbia
002580,2021,"MICIC, VASILIJE",Anadolu Efes Istanbul,22,Guard,1.96,1994-01-13,Serbia
JWO,2012,"MICKEAL, PETE",FC Barcelona Regal,33,Forward,1.97,1978-02-22,United States of America
008847,2021,"MICKEY, JORDAN",Zenit St Petersburg,55,Center,2.03,1994-07-09,United States of America
000529,2020,"MICOV, VLADIMIR",AX Armani Exchange Milan,5,Forward,2.01,1985-04-16,Serbia
APO,2004,"MIDDLETON, DARRYL",Panathinaikos Athens,11,Forward,,1966-07-21,Spain
AVG,2001,"MIDDLETON, LARRY",Scavolini Pesaro,10,Guard,1.9,1965-07-20,United States of America
AYW,2002,"MIGLIENIKS, RAIMONDS",Idea Slask,13,Guard,1.9,1970-08-17,Latvia
ATJ,2003,"MIHAJLOVIC, MARTIN",KRKA Novo Mesto,20,Center,2.09,1981-10-18,Slovenia
JBA,2004,"MIHALIC, JERNEJ",,,,,1985-03-03,Slovenia
AXK,2001,"MIKHAILOV, MIKHAIL",Ural Great,11,Center,2.05,1971-05-17,Russian Federation
KPD,2021,"MILAKNIS, ARTURAS",Zalgiris Kaunas,21,Guard,1.95,1986-06-16,Lithuania
LIZ,2008,"MILES, AARON",Panionios On Telecoms,11,Guard,1.85,1983-04-13,United States of America
AIV,2009,"MILIC, MARKO",Entente Orleanaise,20,Forward,1.99,1977-05-07,Slovenia
000713,2007,"MILICIC, IGOR",Prokom Trefl Sopot,4,Guard,1.94,1976-06-09,Poland
BZP,2003,"MILISAVLJEVIC, BRANKO",Olympiacos,7,Guard,,1976-07-21,Serbia
001809,2011,"MILJENOVIC, NENAD",Partizan mt:s Belgrade,0,Guard,1.94,1993-04-07,Serbia
000435,2009,"MILLAGE, CURTIS",Union Olimpija,14,Guard,1.85,1981-05-04,United States of America
010857,2021,"MILLER, BABA",Real Madrid,18,Forward,2.06,2004-02-07,Spain
JPA,2004,"MILLER, DANIEL",Asvel Basket,14,Forward,2.03,1980-03-18,Italy
006421,2016,"MILLER, DARIUS",Brose Bamberg,21,Forward,2.03,1990-03-21,United States of America
BTK,2002,"MILLER, KENNETH",,,,,1753-01-01,Spain
DIA,2004,"MILLER, MARK",Prokom Trefl Sopot,5,Guard,1.87,1975-09-15,United States of America
006657,2017,"MILLER, QUINCY",Brose Bamberg,1,Forward,2.06,1992-11-18,United States of America
AZN,2001,"MILLING, KYLE",Pau-Orthez,14,Center,,1974-07-27,France
LUF,2006,"MILLS, ABDUL",Union Olimpija,33,Guard,1.9,1979-04-03,United States of America
AEX,2005,"MILOJEVIC, DEJAN",Partizan,13,Forward,2.01,1977-04-15,Serbia
002822,2017,"MILOSAVLJEVIC, DRAGAN",Unicaja Malaga,12,Guard,1.98,1989-05-11,Serbia
KPH,2010,"MILOSEVIC, IGOR",Lietuvos Rytas Vilnius,10,Guard,1.92,1986-04-14,Serbia
JPP,2009,"MILOSEVIC, STEVAN",Partizan Belgrade,55,Center,2.11,1985-10-03,Montenegro
THY,2009,"MILOSEVIC, STRAHINJA",Partizan Belgrade,8,Forward,2.03,1985-09-25,Serbia
ASH,2001,"MILOSSERDOV, ALEKSANDER",Skipper Bologna,18,Guard,1.98,1980-06-11,Russian Federation
003941,2021,"MILUTINOV, NIKOLA",CSKA Moscow,33,Center,2.13,1994-12-30,Serbia
KWH,2013,"MINARD, RICKY",Budivelnik Kiev,24,Guard,1.96,1982-09-11,United States of America
007423,2016,"MINCHEV, YORDAN",Fenerbahce Istanbul,22,Forward,2.02,1998-10-17,Bulgaria
004645,2021,"MINIOTAS, REGIMANTAS",Zalgiris Kaunas,10,Forward,2.08,1996-03-14,Lithuania
BFT,2012,"MIRALLES, ALBERT",Alba Berlin,19,Center,2.07,1982-05-14,Spain
ATG,2001,"MIRKOVIC, MILOS",KRKA Novo Mesto,12,Center,2.06,1983-07-14,Serbia
000796,2021,"MIROTIC, NIKOLA",FC Barcelona,33,Forward,2.08,1991-02-11,Spain
ALT,2004,"MISIAKOS, DIMITRIOS",Olympiacos,11,Forward,2.02,1982-10-13,Greece
BIR,2004,"MISO, ANDRES",Adecco Estudiantes,8,Guard,1.96,1983-01-07,Spain
BTI,2002,"MITCHELL, AARON",Montepaschi Siena,18,Guard,1.88,1969-09-12,Austria
000275,2007,"MITCHELL, DARREL",Lietuvos Rytas,22,Guard,1.81,1984-05-03,United States of America
007866,2021,"MITOGLOU, KONSTANTINOS",AX Armani Exchange Milan,24,Forward,2.1,1996-06-11,Greece
AYL,2001,"MITROPOULOS, IOANNIS",Peristeri,5,Forward,1.94,1983-01-01,Greece
001929,2010,"MITROVIC, ALEKSANDAR",Partizan mt:s Belgrade,19,Forward,2.01,1990-07-22,Serbia
002553,2021,"MITROVIC, LUKA",Crvena Zvezda mts Belgrade,9,Forward,2.06,1993-03-21,Serbia
TGJ,2012,"MOCNIK, JAN",Union Olimpija Ljubljana,20,Guard,1.78,1987-03-27,Slovenia
AGM,2002,"MODRIC, STIPE",Union Olimpija,8,Forward,2.04,1979-05-08,Slovenia
001833,2021,"MOERMAN, ADRIEN",Anadolu Efes Istanbul,18,Forward,2.02,1988-08-07,France
LGT,2008,"MOISO, JEROME",DKV Joventut,22,Center,2.08,1978-06-15,France
003362,2015,"MOLDOVEANU, VLAD",Stelmet Zielona Gora,14,Forward,2.06,1988-02-11,Romania
001199,2008,"MOLINA, MIGUEL",Real Madrid,11,Guard,1.94,1989-10-25,Spain
001477,2011,"MONALDI, DIEGO",Montepaschi Siena,16,Guard,1.85,1993-04-03,Italy
JCL,2007,"MONCASI, ALBERT",AXA FC Barcelona,24,Forward,2.1,1986-05-04,Spain
